FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,TELEFONO,INFOESP
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52de,11874,Heladería Cremades (Pedregalejos),,""CALLE CENACHEROS, 34 "",POINT (377356.926377871 4064794.42812526),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-Cremades-Pedregalejos-00003/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52df,11935,Niña Bonita Cantina,,""CALLE MARTÍNEZ CAMPOS, 6 "",POINT (372953.712069092 4064274.32897777),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Nina-Bonita-Cantina-00003/,ninabonitacantina@gmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e0,12827,NO GLUTEN TEAM,,""CALLE CRISTO DE LA EPIDEMIA, 43 "",POINT (373687.095722494 4065734.69048542),https://singluten.malaga.eu/establecimientos/listado-de-establecimientos/detalle-del-establecimiento/No-Gluten-Team/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e1,11905,Parador de Gibralfaro,,""CAMINO GIBRALFARO, 1 "",POINT (374520.912508887 4065231.05757814),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Parador-de-Gibralfaro-00002/,gibralfaro@parador.es,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e2,11934,Merendero El Mijeño,,""CARRETERA DE ALMERÍA LA ARAÑA, 1 "",POINT (381125.559141778 4063941.28061428),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Merendero-El-Mijeno-00003/,elmijeno@hotmail.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e3,11839,Family Land Viandas,,""CALLE MARQUÉS DE LARIOS, 10 "",POINT (373041.966620984 4064651.99972362),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/comida-para-llevar/detalle-del-establecimiento/Family-Land-Viandas/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e4,12008,Niña Bonita Streetfood,,""CALLE MARTÍNEZ CAMPOS, 5 "",POINT (372959.78406019 4064269.20893383),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/restaurantes/detalle-del-establecimiento/Nina-Bonita-Streetfood/,,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e5,11881,Hotel MS Maestranza,,""AVENIDA DE CÁNOVAS DEL CASTILLO, 1 "",POINT (373945.817895778 4064706.64315247),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/hoteles/detalle-del-establecimiento/Hotel-MS-Maestranza-00003/,franciscojmoro@mshoteles.com,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e6,11870,Heladería Artesol,,""CAMINO COLMENAR, 1 "",POINT (373575.234224101 4066247.35958583),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/Heladeria-Artesol-00003/,rosachicon63@gmail.con,,,,PRIVADA,No,No,,"
"da_higialim_redsingluten.fid-7e811540_18bacf1b7a1_52e7,11869,GALISABOR S.L,,""CALLE MÉNDEZ NÚÑEZ, 6 "",POINT (373142.726593465 4065077.87768178),https://singluten.malaga.eu/establecimientos/tipos-de-establecimiento/heladerias/detalle-del-establecimiento/GALISABOR-S.L/,moisesdopico@hotmail.com,,,,PRIVADA,No,No,,"
