iter	MultiClass
0	1.810301699
1	1.708171435
2	1.635082007
3	1.572327325
4	1.515510029
5	1.461787892
6	1.420129535
7	1.374712437
8	1.340830524
9	1.306607216
10	1.274102286
11	1.247774671
12	1.220044209
13	1.197912587
14	1.176372546
15	1.155419749
16	1.134788236
17	1.116430575
18	1.100979807
19	1.084906742
20	1.069193845
21	1.056038134
22	1.043009332
23	1.031732819
24	1.022514242
25	1.010787937
26	0.9997206024
27	0.9884830512
28	0.9809883708
29	0.9690799748
30	0.9594490562
31	0.9506086926
32	0.9429649388
33	0.9329904457
34	0.9247375875
35	0.9173505021
36	0.9110584483
37	0.9004877423
38	0.894703748
39	0.8901197703
40	0.8794805492
41	0.872931104
42	0.8668626821
43	0.8597067287
44	0.8533788212
45	0.8457308596
46	0.8387975755
47	0.8337992287
48	0.8299928819
49	0.8242490275
50	0.8197925464
51	0.8148998664
52	0.810777374
53	0.8075025039
54	0.8038138334
55	0.7984670129
56	0.7946945855
57	0.79034546
58	0.7870393136
59	0.7840654192
60	0.7807968272
61	0.7759733343
62	0.7723751217
63	0.7685885036
64	0.7635209414
65	0.7608496711
66	0.7565692661
67	0.7535186811
68	0.7492869838
69	0.7454822023
70	0.7433100015
71	0.7396444143
72	0.7362567474
73	0.7317796824
74	0.7297219458
75	0.7263425658
76	0.7243008283
77	0.7223658994
78	0.7204856419
79	0.7172949335
80	0.7143094296
81	0.7112468459
82	0.7089520841
83	0.7054176356
84	0.703302322
85	0.7002724131
86	0.6969256045
87	0.693791183
88	0.6910423705
89	0.6884211388
90	0.6855205736
91	0.6836512033
92	0.6806096825
93	0.6781173943
94	0.6762507196
95	0.673643015
96	0.6708078287
97	0.6683264856
98	0.666998449
99	0.6639253254
100	0.6616392402
101	0.6585422243
102	0.6566026994
103	0.6549747792
104	0.6533268909
105	0.6512028246
106	0.6496477527
107	0.6474047668
108	0.6459127662
109	0.6436679178
110	0.6418016701
111	0.6389940639
112	0.6359844176
113	0.6336688994
114	0.6327741183
115	0.6312655155
116	0.629803527
117	0.6287609758
118	0.6257840672
119	0.6244741547
120	0.623178866
121	0.6212483841
122	0.6199139541
123	0.618465405
124	0.6167752965
125	0.6153598467
126	0.6129326889
127	0.6114319307
128	0.6099990072
129	0.6079472595
130	0.6058794045
131	0.6039614784
132	0.6028037302
133	0.601130041
134	0.5991523647
135	0.598158876
136	0.5966483848
137	0.5947343072
138	0.5936270071
139	0.5919723187
140	0.5905051867
141	0.5895533069
142	0.5875608096
143	0.5853984381
144	0.5842089412
145	0.5832138884
146	0.5815397238
147	0.580304261
148	0.5781630084
149	0.5768171608
150	0.5748799086
151	0.5743656009
152	0.5725942951
153	0.5711517441
154	0.5694563799
155	0.5674757259
156	0.5664288415
157	0.564484846
158	0.5623581329
159	0.5612858493
160	0.558758516
161	0.5574954088
162	0.5567234893
163	0.5557645527
164	0.5539531956
165	0.5525705588
166	0.5512068881
167	0.5495847779
168	0.5485589132
169	0.5468244997
170	0.545776585
171	0.5444169114
172	0.543586348
173	0.5428533706
174	0.5413721425
175	0.5393084655
176	0.5376864104
177	0.5365352905
178	0.5354451603
179	0.5339431059
180	0.5328515879
181	0.5318307036
182	0.531004067
183	0.5298003423
184	0.5288224829
185	0.5273204981
186	0.5261146284
187	0.525547044
188	0.5241572425
189	0.5231924366
190	0.5219169647
191	0.5211645188
192	0.5191077654
193	0.5180524396
194	0.5160588498
195	0.5149700393
196	0.5139435842
197	0.5129182266
198	0.512160197
199	0.5110463163
200	0.5098845344
201	0.5085868493
202	0.5076497617
203	0.506161314
204	0.5047082653
205	0.5039008584
206	0.5029688975
207	0.5014444664
208	0.4998754819
209	0.4992734018
210	0.4986702671
211	0.4971184854
212	0.496397498
213	0.4954804966
214	0.493852157
215	0.492762283
216	0.4920367942
217	0.4911240539
218	0.4903921463
219	0.4884593141
220	0.4875892612
221	0.4864137566
222	0.4853734342
223	0.484967321
224	0.4841483797
225	0.483635115
226	0.483241746
227	0.4824256323
228	0.4815201211
229	0.4805517203
230	0.4801167798
231	0.4791075056
232	0.477875196
233	0.476872101
234	0.4755210977
235	0.4746636263
236	0.4739445621
237	0.4724133273
238	0.4714195927
239	0.4704475753
