iter	Passed	Remaining
0	10	10116
1	19	9914
2	30	10082
3	40	10006
4	50	9985
5	60	9948
6	69	9877
7	79	9874
8	89	9836
9	99	9885
10	110	9894
11	119	9809
12	130	9882
13	140	9872
14	149	9813
15	158	9770
16	168	9730
17	176	9640
18	185	9595
19	188	9255
20	197	9220
21	207	9206
22	216	9180
23	225	9160
24	234	9162
25	243	9126
26	253	9134
27	262	9119
28	272	9128
29	281	9113
30	291	9114
31	301	9108
32	310	9086
33	319	9068
34	329	9071
35	338	9052
36	347	9054
37	356	9036
38	368	9070
39	378	9074
40	390	9127
41	400	9124
42	408	9095
43	414	9015
44	424	9002
45	433	8987
46	442	8963
47	451	8957
48	460	8941
49	469	8923
50	479	8928
51	489	8917
52	498	8915
53	508	8904
54	517	8894
55	527	8899
56	536	8875
57	546	8873
58	556	8874
59	566	8875
60	577	8893
61	588	8908
62	598	8903
63	609	8916
64	619	8913
65	631	8938
66	643	8963
67	654	8977
68	666	8989
69	678	9014
70	689	9022
71	700	9030
72	712	9046
73	724	9063
74	735	9069
75	746	9072
76	757	9085
77	768	9087
78	779	9088
79	790	9093
80	803	9115
81	815	9127
82	826	9130
83	838	9142
84	848	9138
85	859	9139
86	871	9142
87	882	9144
88	893	9146
89	904	9150
90	917	9160
91	927	9150
92	938	9148
93	948	9144
94	960	9154
95	973	9166
96	985	9170
97	995	9165
98	1007	9168
99	1020	9186
100	1031	9184
101	1043	9184
102	1056	9198
103	1075	9269
104	1089	9284
105	1101	9293
106	1113	9293
107	1125	9297
108	1136	9291
109	1147	9287
110	1158	9277
111	1170	9281
112	1181	9276
113	1191	9261
114	1205	9276
115	1216	9269
116	1227	9261
117	1236	9245
118	1253	9276
119	1262	9259
120	1272	9243
121	1282	9229
122	1292	9216
123	1301	9197
124	1310	9175
125	1319	9150
126	1329	9136
127	1338	9115
128	1348	9103
129	1357	9085
130	1366	9062
131	1375	9046
132	1384	9026
133	1394	9011
134	1403	8992
135	1412	8973
136	1421	8951
137	1430	8936
138	1439	8916
139	1448	8897
140	1458	8886
141	1468	8872
142	1477	8855
143	1486	8838
144	1496	8822
145	1505	8807
146	1515	8792
147	1525	8780
148	1534	8763
149	1543	8748
150	1553	8735
151	1563	8723
152	1573	8710
153	1582	8693
154	1592	8682
155	1602	8672
156	1612	8657
157	1621	8642
158	1630	8622
159	1638	8603
160	1648	8589
161	1657	8575
162	1667	8560
163	1675	8540
164	1684	8523
165	1692	8505
166	1701	8487
167	1710	8468
168	1720	8457
169	1728	8439
170	1738	8427
171	1747	8414
172	1757	8400
173	1766	8383
174	1774	8365
175	1784	8354
176	1793	8337
177	1802	8323
178	1811	8306
179	1820	8293
180	1829	8279
181	1838	8262
182	1847	8248
183	1857	8236
184	1867	8226
185	1876	8211
186	1885	8197
187	1894	8182
188	1903	8168
189	1912	8154
190	1921	8139
191	1932	8131
192	1941	8118
193	1950	8105
194	1960	8093
195	1970	8082
196	1980	8071
197	1989	8057
198	1998	8044
199	2007	8028
200	2016	8015
201	2026	8004
202	2034	7989
203	2044	7977
204	2052	7961
205	2063	7952
206	2071	7937
207	2081	7927
208	2090	7913
209	2099	7897
210	2107	7882
211	2117	7872
212	2127	7861
213	2136	7846
214	2145	7834
215	2154	7821
216	2164	7809
217	2173	7796
218	2181	7780
219	2191	7771
220	2201	7759
221	2211	7750
222	2221	7739
223	2230	7727
224	2241	7719
225	2250	7707
226	2260	7696
227	2271	7690
228	2280	7678
229	2290	7667
230	2299	7653
231	2309	7644
232	2318	7633
233	2328	7621
234	2338	7611
235	2347	7597
236	2356	7585
237	2364	7571
238	2374	7561
239	2383	7548
240	2392	7536
241	2402	7524
242	2411	7512
243	2421	7501
244	2429	7487
245	2439	7477
246	2448	7465
247	2458	7453
248	2468	7445
249	2478	7435
250	2488	7424
251	2497	7412
252	2506	7399
253	2516	7390
254	2525	7378
255	2534	7367
256	2544	7354
257	2554	7346
258	2563	7335
